iter	Passed	Remaining
455	896	1068
456	896	1065
457	898	1062
458	899	1059
459	900	1056
460	901	1053
461	902	1050
462	903	1047
463	904	1044
464	905	1041
465	906	1039
466	907	1036
467	908	1033
468	909	1030
469	911	1027
470	912	1024
471	913	1021
472	914	1018
473	915	1016
474	916	1013
475	917	1010
476	918	1007
477	919	1004
478	920	1001
479	921	998
480	923	995
481	924	993
482	925	990
483	926	987
484	927	984
485	928	982
486	929	979
487	930	976
488	931	973
489	932	970
490	934	968
491	935	965
492	936	962
493	937	960
494	938	957
495	939	954
496	940	951
497	941	949
498	942	946
499	943	943
500	944	941
501	945	938
502	947	935
503	948	933
504	949	930
505	950	928
506	951	925
507	952	922
508	954	920
509	955	917
510	956	915
511	957	912
512	959	910
513	960	908
514	961	905
515	962	903
516	964	900
517	965	898
518	966	895
519	967	893
520	968	890
521	969	888
522	971	885
523	972	883
524	973	880
525	974	878
526	976	876
527	977	873
528	978	871
529	979	868
530	980	866
531	982	863
532	983	861
533	984	858
534	985	856
535	986	853
536	987	851
537	988	848
538	989	846
539	990	844
540	991	841
541	993	839
542	993	836
543	994	834
544	996	831
545	997	829
546	998	826
547	999	824
548	1000	821
549	1000	818
550	1002	816
551	1003	814
552	1004	812
553	1006	810
554	1007	807
555	1008	805
556	1009	803
557	1011	800
558	1012	798
559	1013	796
560	1014	793
561	1015	791
562	1017	789
563	1018	787
564	1020	785
565	1022	783
566	1023	781
567	1024	779
568	1026	777
569	1027	775
570	1028	773
571	1030	771
572	1032	769
573	1033	767
574	1035	765
575	1037	763
576	1038	761
577	1039	759
578	1041	757
579	1042	754
580	1044	753
581	1047	752
582	1049	750
583	1051	748
584	1053	747
585	1054	745
586	1056	743
587	1057	741
588	1059	739
589	1061	737
590	1063	735
591	1066	735
592	1067	733
593	1069	731
594	1071	729
595	1072	727
596	1073	724
597	1075	722
598	1076	720
599	1078	718
600	1079	716
601	1081	714
602	1082	712
603	1084	710
604	1085	708
605	1087	706
606	1088	704
607	1089	702
608	1091	700
609	1093	698
610	1094	696
611	1096	695
612	1097	693
613	1099	691
614	1100	689
615	1103	687
616	1105	686
617	1107	684
618	1109	682
619	1111	681
620	1112	679
621	1114	677
622	1119	677
623	1121	675
624	1123	673
625	1124	672
626	1126	670
627	1128	668
628	1129	666
629	1131	664
630	1132	662
631	1134	660
632	1136	658
633	1137	656
634	1138	654
635	1140	652
636	1142	650
637	1143	648
638	1145	647
639	1146	645
640	1148	643
641	1149	641
642	1151	639
643	1152	637
644	1154	635
645	1155	633
646	1157	631
647	1159	629
648	1160	627
649	1162	625
650	1164	624
651	1165	622
652	1167	620
653	1169	618
654	1172	617
655	1174	615
656	1175	613
657	1177	612
658	1179	610
659	1180	608
660	1182	606
661	1183	604
662	1185	602
663	1187	600
664	1188	598
665	1190	597
666	1193	595
667	1194	593
668	1196	592
669	1198	590
670	1202	589
671	1204	587
672	1206	586
673	1208	584
674	1210	583
675	1212	581
676	1214	579
677	1215	577
678	1217	575
679	1218	573
680	1220	571
681	1221	569
682	1222	567
683	1225	566
684	1227	564
685	1228	562
686	1230	560
687	1231	558
688	1233	556
689	1234	554
690	1235	552
691	1237	550
692	1239	548
693	1240	547
694	1242	545
695	1245	543
696	1247	542
697	1249	540
698	1251	538
699	1253	537
700	1256	535
701	1258	534
702	1259	532
703	1261	530
704	1263	528
705	1264	526
706	1266	524
707	1268	523
708	1270	521
